Code;Date;Aeshna;Agabus;Anacaena;Anax;Anisus;Anopheles;Atherix;Atrichopogon;Atrichops;Baetis;Berdeniella;Bezzia;Boyeria;Brachypogon;Caenis;Calopteryx;Centroptilum;Ceriagrion;Chironominii;Cloeon;Cordulegaster;Corynoneura;Culex;Culicoides;Dasyhelea;Deronectes;Dixella;Dryops;Dugesiia;Dytiscus;Echinogammarus;Electrogena;Elmis;Elodes;Graptodytes;Gyraulus;Gyrinus;Habroleptoides;Habrophlebia;Haliplus;Hemerodromia;Hydracarina;Hydraena;Hydrocyphon;Hydrometra;Hydropsyche;Hydroptila;Laccobius;Laccophilus;Limnebius;Limnephilus;Limnophora;Limoniidae;Lymnaea;Macropelopinii;Micronecta;Mormia;Mystacides;Naucoris;Nemoura;Notonecta;Oligochaeta;Onychogomphus;Orthetrum;Orthocladiinae;Oulimnius;Oxycera;Procambarus;Paracymus;Parasigara;Peltodytes;Pentaneurinii;Pericoma;Philopotamus;Physa;Pilaria;Platycnemis;Polycentropus;Pyrrhosoma;Radix;Riolus;Satchelliella;Sciomyzidae;Sericostoma;Sialis;Simulium;Sphaerium;Stactobia;Stictonectes;Sympetrum;Syrphidae;Tabanus;Tanytarsinii;Threticus;Tinodes;Tipula;Tonnoiriella;Velia
CA1;18/11/2019;0;0;0;1;1;1;0;1;0;8;0;27;0;0;196;0;34;2;59;42;0;12;0;44;17;0;40;0;0;0;0;0;0;0;0;0;0;0;1;0;0;25;1;1;3;0;0;1;0;0;1;1;0;1;65;38;0;6;0;8;0;13;2;11;190;0;2;0;0;0;0;40;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;3;0;0;28;0;0;1;0;6
CA2;18/11/2019;0;0;0;0;0;0;0;1;5;0;0;9;0;0;47;0;46;0;70;23;1;12;0;0;32;0;7;0;6;0;0;0;1;0;0;1;0;0;0;0;1;3;0;2;0;0;0;0;0;0;0;0;0;2;46;37;0;4;0;7;1;15;4;9;95;0;1;1;0;0;0;11;0;0;2;0;3;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;9;0;0;1;0;0
CA3;18/11/2019;0;0;0;0;0;7;0;1;1;0;0;7;0;0;128;4;150;0;14;128;0;6;0;6;10;0;6;0;0;1;0;0;0;1;2;2;0;0;3;1;2;2;0;0;0;0;2;0;0;1;6;0;0;12;28;2;0;3;0;47;1;10;3;6;12;0;1;0;0;0;0;40;0;0;24;0;0;0;17;7;0;2;0;0;0;0;5;0;3;1;0;1;20;0;5;0;0;0
CA4;18/11/2019;0;1;0;0;0;11;1;0;0;0;0;5;0;0;38;0;3;0;4;27;0;1;0;0;1;0;0;0;0;1;0;0;0;0;14;0;0;0;2;4;0;4;2;0;1;0;0;0;0;0;10;0;0;10;3;0;0;0;0;31;5;2;0;9;1;0;1;0;0;0;0;20;0;0;20;0;0;0;6;0;0;0;0;0;0;0;1;0;13;0;0;0;1;0;0;0;0;1
G1;20/11/2019;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H1;21/11/2019;0;2;0;0;1;0;0;0;1;0;0;11;0;0;61;1;0;0;81;38;1;10;0;2;2;0;27;0;0;0;1;0;0;1;0;0;10;0;2;2;5;19;0;0;0;3;0;0;2;0;0;0;0;0;6;0;0;0;0;5;1;0;0;0;236;27;3;0;0;1;0;41;3;4;0;1;0;1;2;0;0;0;0;0;1;8;16;0;3;0;0;1;15;0;0;0;0;0
H2;21/11/2019;1;3;0;0;0;0;0;0;0;6;2;17;0;0;49;0;0;0;0;17;0;15;4;0;2;0;0;2;0;0;0;0;0;2;1;0;0;0;0;0;2;10;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;11;1;7;0;0;146;10;2;0;0;0;0;6;0;1;8;0;0;0;1;0;0;0;0;1;0;19;1;0;0;0;0;0;36;2;0;0;0;0
H3;21/11/2019;0;5;1;0;0;0;0;0;0;5;95;3;0;0;54;0;0;0;22;40;0;190;0;0;0;1;1;0;0;0;3;0;0;4;0;0;0;0;0;0;1;44;0;0;1;1;1;0;0;0;5;0;0;0;0;0;12;0;0;8;0;0;0;2;200;3;11;0;0;0;0;24;18;11;2;0;0;1;0;0;0;0;0;0;0;125;0;0;0;0;0;0;24;47;1;0;6;0
H5;21/11/2019;0;3;0;0;0;0;0;0;0;0;5;0;0;0;2;0;0;0;0;2;0;0;0;1;6;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;13;0;0;153;0;3;0;1;0;0;20;0;3;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;1;1;0;0;0;1
MU2;19/11/2019;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
