Code;Date;Aedes;Aeshna;Agabus;Anacaena;Anax;Ancylus;Anopheles;Aquarius;Arctocorisa;Atherix;Atrichopogon;Baetis;Beraea;Berosus;Bezzia;Bidessus;Boyeria;Brachypogon;Caenis;Calopteryx;Centroptilum;Ceriagrion;Chalcolestes;Chaoborus;Chelifera;Chironominii;Chrysopilus;Chrysops;Cloeon;Coenagrionidae;Cordulegaster;Corynoneura;Culex;Culicoides;Dasyhelea;Deronectes;Dixa;Dixella;Dryops;Dugesia;Dytiscus;Echinogammarus;Elmis;Elodes;Ephydra;Erpobdella;Erythromma;Forcypomyia;Galba;Gerris;Graptodytes;Gyrinus;Habrophlebia;Haliplus;Helobdella;Helochares;Hemerodromia;Hydracarina;Hydraena;Hydrocyphon;Hydroglyphus;Hydrometra;Hydrophilus;Hydropsyche;Hydroptila;Ilybius;Laccobius;Laccophilus;Leuctra;Limnebius;Limnephilus;Limnophora;Limoniidae;Lispe;Lymnaea;Macropelopinii;Micronecta;Molophilus;Mystacides;Naucoris;Nepa;Notonecta;Oligochaeta;Onychogomphus;Orthetrum;Orthocladiinae;Oulimnius;Oxycera;Oxyethira;Peltodytes;Pentaneurinii;Pericoma;Peripsychoda;Philopotamus;Physa;Pilaria;Platycnemis;Plectrocnemia;Polycentropus;Potamopyrgus;Prionocera;Procloeon;Psychoda;Ptychoptera;Pyrrhosoma;Radix;Riolus;Satchelliella;Serratella;Sialis;Sigara;Simulium;Sphaerium;Stactobia;Stictonectes;Stratiomys;Sympetrum;Tabanus;Tachytrechus;Tanytarsinii;Thraulus;Tinodes;Tipula;Tonnoiriella;Velia;Veliidae;Wormaldia;Yola
CA1;10/07/2019;0;0;0;0;0;0;0;0;0;0;1;14;0;0;54;0;0;1;225;0;0;0;0;0;0;68;1;0;0;1;0;20;3;42;6;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;10;0;0;0;0;0;0;7;0;2;0;0;0;1;0;0;0;0;24;1;0;0;0;1;0;72;3;5;20;0;4;0;0;110;0;0;0;6;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;2;0;0;0;1;1;0;74;0;1;0;0;0;0;0;0
CA2;10/07/2019;0;4;1;0;0;0;0;3;0;1;2;3;0;0;9;0;0;0;76;0;12;0;2;0;0;252;0;2;3;0;0;88;7;0;7;0;0;12;2;9;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;11;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;80;7;0;2;0;0;1;0;0;0;60;0;0;0;0;252;0;0;0;0;0;8;2;0;0;0;0;0;0;17;0;1;0;0;0;0;0;1;0;0;0;8;0;1;104;0;3;0;0;0;0;0;0
CA3;10/07/2019;0;9;1;0;0;0;0;1;0;2;0;7;0;0;24;0;0;0;1424;0;356;0;2;0;0;304;0;7;32;0;10;128;2;18;20;1;8;0;2;0;0;0;0;1;0;0;0;0;0;6;0;0;24;0;5;0;3;12;1;0;0;0;0;12;6;0;5;0;0;0;0;0;0;0;0;120;0;1;16;0;2;4;0;0;0;136;0;0;0;0;640;2;8;0;3;1;1;0;2;0;0;0;10;2;44;4;1;0;0;0;0;14;3;0;3;0;2;0;0;464;0;1;1;4;1;0;0;0
G1;11/07/2019;2011;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;756;0;0;227;0;0;0;1517;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
H1;11/07/2019;0;5;16;0;0;0;14;0;2;0;1;10;0;0;22;0;0;6;25;5;0;22;32;0;0;848;0;0;94;0;1;448;38;3;143;1;6;44;3;0;1;1;0;6;0;0;0;0;0;0;0;0;73;2;1;0;60;30;16;0;0;4;0;50;70;0;0;0;0;0;3;4;0;0;0;112;2;0;3;0;4;2;0;0;0;864;165;28;0;0;416;25;0;3;12;0;0;15;8;0;0;0;8;0;0;54;0;0;64;0;0;67;0;0;20;0;1;0;0;944;1;0;1;33;2;0;5;0
H2;11/07/2019;1;6;1;0;0;1;1;0;19;0;1;17;0;0;1;0;0;0;3;0;0;0;39;0;0;652;0;0;40;0;0;56;13;0;1;0;0;9;0;1;0;0;0;1;0;0;0;0;0;0;1;1;55;3;1;0;0;15;0;0;0;2;0;0;2;0;2;0;1;0;0;0;0;0;2;44;0;0;0;0;0;4;0;0;0;28;3;2;0;0;148;3;0;0;3;0;0;0;0;0;0;0;0;0;29;19;0;0;1;0;3;2;2;0;8;0;3;0;0;8;1;6;1;2;0;0;0;0
H3;11/07/2019;0;2;3;0;0;3;2;0;1;0;0;84;0;0;7;0;0;0;3;1;0;53;11;0;0;440;0;0;260;0;0;134;47;0;0;0;0;15;0;0;0;0;0;20;0;7;0;0;0;1;5;6;54;17;4;0;0;57;13;0;0;1;0;45;315;0;0;0;0;1;0;27;0;0;0;15;1;0;1;0;3;2;9;0;0;1181;4;16;0;0;491;123;0;0;72;0;0;15;0;0;0;0;96;0;0;68;0;0;1;0;0;196;1;0;8;0;3;0;0;170;1;1;0;55;0;0;0;0
H5;11/07/2019;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;41;0;0;0;4;0;0;28;0;0;62;0;8;36;1;0;35;2;0;0;0;0;0;6;0;1;0;0;0;0;0;8;3;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;2;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;16;0;6;0;0;252;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;20;0;0;0;0;122;0;0;0;0;0;0;0;0
MU2;09/07/2019;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;3;0;0;0;0;0;0;215;0;0;0;0;1;96;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;21;4;1;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;6;0;0;48;0;4;0;0;96;0;0;0;1;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;1;0;0;0;0;59;0;0;1;3;2;0;0;0
MU3;09/07/2019;0;0;8;0;0;0;0;0;0;0;0;26;0;0;1;0;0;0;48;0;0;3;9;0;0;62;0;0;45;0;1;0;2;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;1;0;0;12;1;0;1;0;5;0;0;0;1;0;0;3;0;3;0;0;1;0;0;0;2;0;3;0;0;0;0;1;2;0;0;0;2;0;3;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;1;0;0;0;0;3;0;0;6;0;2;0;0;0;0;0;1;2;0;0;0;0
