Site,lat,long
CA1,41651,206
CA2,41652,2063
CA3,41653,2065
CA4,41654308,2068417
CA5,41653218,2072647
G1,41608437,1970293
H1,41673252,203444
H2,41676292,203133
H3,41677357,2029443
H4,41678042,2023948
H5,416761,2016935
MU1,41694288,1988722
MU2,41694558,198792
MU3,41696000,1986000
MU4,41696172,1983993
R1,41632515,193247
R2,41632283,1933587
R3,41630982,1934218
R4,41630738,1935418
SA1,41620058,1908955
SA2,41620465,190995
SA3,4162069,1911108
SA4,41620255,1912333
SA5,41620913,1913022
SC1,41698053,188301
SC2,41696925,1885465
SC3,41696653,1891595
SC4,41695615,1892313
T1,41740022,1981257
T2,41739375,1982355
T3,41738338,1982688
T4,417372,1984032
