;b1;b2;c1;c2;c3;d1;d2;d3;d4;e1;e2;e3;e4;e5;e6;e7;e8;f1;f2;f3;f4;g1;g2;g3;g4;g5;j1;j2;j3;j4;j5;u1;u2;u3;u4;u5;u6;u7;u8
Aeshna;1;3;3;1;0;1;3;0;0;0;2;0;0;0;3;3;0;1;1;0;3;2;0;0;1;0;1;3;0;0;0;0;0;0;5;0;0;0;0
Agabus;0;3;0;3;1;3;3;0;2;0;0;0;3;0;1;0;0;1;1;0;3;0;0;0;0;3;1;0;0;3;0;1;0;3;3;0;0;0;0
Anacaena;1;3;0;3;1;3;3;0;2;0;0;0;3;0;0;0;0;0;1;0;3;0;0;0;0;3;1;0;1;3;0;1;0;3;3;0;0;0;0
Anax;2;2;1;3;0;2;3;0;0;0;0;0;0;0;3;2;0;0;1;0;3;2;0;0;2;2;1;3;0;0;0;0;0;2;4;0;0;0;0
Anisus;3;0;0;3;0;3;0;0;1;0;0;0;3;0;0;0;0;2;1;0;0;1;0;1;3;0;3;0;0;0;0;0;1;0;3;0;0;0;0
Anopheles;3;0;0;2;2;1;3;3;0;0;3;0;0;1;0;0;0;0;0;2;3;1;0;0;2;1;0;0;0;3;0;0;4;1;0;0;0;0;0
Anthomyidae;3;0;0;1;3;0;2;1;0;1;0;1;1;0;0;3;0;0;1;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;4;1;0;0;0
Atherix;3;1;1;3;0;0;3;0;0;0;0;0;0;0;0;3;0;0;1;0;1;0;0;0;0;3;0;1;0;0;0;0;0;0;5;0;2;0;0
Atrichops;3;1;1;3;0;0;3;0;0;0;0;0;0;0;0;3;0;1;1;0;1;0;0;0;0;3;0;1;0;0;0;0;0;0;5;0;0;0;0
Baetis;3;0;0;2;3;3;3;0;0;0;0;1;3;0;0;0;0;3;2;1;3;2;0;0;0;2;1;2;0;0;0;0;0;3;4;0;1;0;0
Boyeria;0;3;3;0;0;2;3;0;0;0;0;0;0;0;3;0;0;2;0;0;3;0;0;0;1;3;1;3;0;0;0;0;0;0;5;0;0;0;0
Caenis;3;0;0;1;3;3;3;0;0;0;1;2;0;0;0;0;0;2;1;1;1;2;0;0;1;2;1;3;0;0;0;0;0;0;5;1;1;0;0
Calopteryx;2;2;1;3;0;3;3;0;0;0;0;0;0;0;3;0;0;2;1;0;2;0;0;0;2;2;1;3;0;0;0;0;0;1;4;0;0;0;0
Centroptilum;3;0;0;0;3;3;3;0;0;0;0;3;0;0;0;0;0;2;2;1;2;1;0;0;0;3;1;2;0;0;0;0;0;3;1;1;0;0;0
Ceratopogoninae;3;0;0;2;2;1;2;2;0;0;0;1;3;0;0;0;0;3;1;0;2;1;0;0;0;3;0;3;0;0;0;0;1;3;1;3;0;0;0
Dasyhelea;3;0;0;2;2;1;2;2;0;0;0;1;3;0;0;0;0;3;1;0;2;1;0;0;0;3;0;3;0;0;0;0;1;3;1;3;0;0;0
Brachypogon;3;0;0;2;2;1;2;2;0;0;0;1;3;0;0;0;0;3;1;0;2;1;0;0;0;3;0;3;0;0;0;0;1;3;1;3;0;0;0
Bezzia;3;0;0;2;2;1;2;2;0;0;0;1;3;0;0;0;0;3;1;0;2;1;0;0;0;3;0;3;0;0;0;0;1;3;1;3;0;0;0
Atrichopogon;3;0;0;2;2;1;2;2;0;0;0;1;3;0;0;0;0;3;1;0;2;1;0;0;0;3;0;3;0;0;0;0;1;3;1;3;0;0;0
Ceriagrion;2;0;1;2;0;2;3;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;1;1;3;0;0;0;0;0;0;5;0;0;0;0
Chironominii;3;0;0;1;3;0;3;3;0;1;0;0;1;3;0;0;0;2;1;3;1;0;0;0;1;3;3;1;0;0;0;0;0;1;3;2;1;2;0
Cloeon;3;0;0;1;3;3;3;0;0;3;1;1;0;0;0;0;0;1;2;1;2;0;0;0;0;3;1;2;0;0;0;0;0;3;1;0;0;0;0
Cordulegaster;0;3;3;0;0;2;3;0;0;0;3;0;0;0;0;1;0;2;0;0;3;0;0;0;0;3;1;3;0;0;0;0;0;0;1;4;0;0;0
Culex;3;0;0;2;2;1;3;3;0;0;1;0;0;3;0;1;0;0;0;2;3;3;0;0;2;0;0;0;0;3;0;0;5;0;0;0;0;0;0
Culicoides;3;0;0;2;2;1;3;3;0;0;1;0;0;3;0;1;0;0;0;2;3;3;0;0;2;0;0;0;0;3;0;0;5;0;0;0;0;0;0
Dasyheleinae;3;0;0;2;1;0;3;2;0;0;0;0;3;0;0;0;0;0;0;0;2;1;0;0;0;3;0;3;0;0;0;0;0;0;5;0;0;0;0
Deronectes;1;3;0;1;3;3;3;0;2;0;0;0;3;0;0;0;0;2;1;0;3;0;0;0;0;3;1;0;0;3;0;1;0;3;3;0;0;0;0
Dixella;3;0;0;3;0;2;2;1;0;0;0;0;3;1;0;1;0;3;1;1;0;0;0;0;2;0;0;0;0;3;0;0;3;2;1;0;0;1;0
