Riera;Codi_HOBO;Latitud;Longitud
C;CA1;41651000;2059999
C;CA2;41651000;2060000
C;CA3;41651000;2060002
C;CA15;41651000;2059998
C;CA4;41652000;2061000
C;CA14;41651000;2060001
C;CA11;41652000;2062001
C;CA10;41652000;2063001
C;CA9;41652000;2063000
C;CA12;41652000;2062000
C;CA6;41653000;2065001
C;CA5;41653000;2066000
C;CA8;41653000;2067000
C;CA7;41653000;2065000
C;CA6 sust;41652710;2064646
C;MECCR2;41652710;2064644
C;CA5 sust;41652710;2064645
C;MECCR4;41653077;2065500
C;MECCP5;41654308;2068417
C;MECCR6;41654248;2068320
C;MECCP7;41653692;2069290
C;MECCR8;41653537;2068792
C;MECCR9;41653218;2072647
VH;MECHP1;41676100;2016936
VH;MECHA1;41676100;2016935
VH;MECHP2;41676370;2018400
VH;MECHR3;41676912;2020270
VH;MECHR4;41678042;2023948
VH;MECHR5;41678685;2027173
VH;MECHR6;41677357;2029443
VH;MECHP7;41677352;2029427
VH;MECHR8;41676292;2031330
VH;MECHP9;41675630;2031887
VH;MECHP10;41673252;2034440
A;MECA1;41657650;1990398
M;MU1;41694000;1989000
M;MU7;41696000;1986001
M;MU4;41695000;1986001
M;MU5;41695000;1985999
M;MU3;41695000;1986002
M;MU2;41695000;1985998
M;MU6;41696000;1986000
M;MU8;41696000;1985001,5
M;MU9;41696000;1984998,5
M;MU10;41695000;1986000
M;MECMP1;41694513;1988482
M;MECMP2;41694288;1988722
M;MECMR3;41694558;1987920
M;MECMR4;41696172;1983993
SA;MECSR1;41620058;1908955
SA;MECSP2;41619562;1908800
SA;MECSP3;41619435;1908955
SA;MECSR4;41620477;1909908
SA;MECSP5;41620465;1909950
SA;MECSR6;41620690;1911109
SA;MECSP7;41619988;1912018
SA;MECSA1;41620690;1911108
SA;MECSR8;41620255;1912333
SA;MECSP11;41620913;1913022
SA;MECSR10;41620702;1912897
SA;MECSP9;41620672;1912892
R;MECRR1;41632672;1932378
R;MECRP2;41632515;1932470
R;MECRP4;41632325;1933546
R;MECRR5;41632283;1933587
R;MECRP6;41631823;1933943
R;MECRR8;41630982;1934218
R;MECRP9;41630891;1934608
R;MECRP10;41630940;1935158
R;MECRR11;41630738;1935419
R;MECRP12;41630738;1935417
R;MECRA1;41630738;1935418
R;MECRR3;41632515;1932765
T;MECTP1;41739605;1981910
T;MECTR2;41739627;1982025
T;MECTP3;41739375;1982355
T;MECTR4;41739000;1982445
T;MECTP5;41738338;1982689
T;MECTR6;41738338;1982688
T;MECTA1;41738073;1982800
T;MECTP8;41737200;1984032
T;MECTR7;41737260;1983756
T;MECTP9;41737260;1983757
T;MECTR10;41738010;1983185
T;MECTR11;41740147;1981228
T;MECTP12;41740022;1981257
T;MECTR13;41739817;1981442
T;MECTP14;41739728;1981542
SC;MECSCP1;41695615;1892313
SC;MECSCR2;41695703;1892218
SC;MECSCP3;41695902;1892112
SC;MECSCR4;41696380;1891908
SC;MECSCR5;41696653;1891595
SC;MECSCP6;41696293;1890620
SC;MECSCR7;41696412;1889827
SC;MECSCR8;41696603;1888217
SC;MECSCR9;41696967;1887170
SC;MECSCP10;41696925;1885465
SC;MECSCR11;41697135;1884803
SC;MECSCP12;41697392;1883818
SC;MECSCP13;41698053;1883010
SC;MECSCA14;41697892;1882834
G;MECGP1;41608482;1970201
G;MECGR2;41608437;1970293
G;MECGA3;41608457;1970147
