Site,lat,long
CA1,41.651,2.06
CA2,41.652,2.063
CA3,41.653,2.065
CA4,41.654308,2.068417
CA5,41.653218,2.072647
G,41.608437,1.970293
H1,41.673252,2.03444
H2,41.676292,2.03133
H3,41.677357,2.029443
H4,41.678042,2.023948
H5,41.6761,2.016935
MU1,41.694288,1.988722
MU2,41.694558,1.98792
MU3,41.696,1.986
MU4,41.696172,1.983993
R1,41.632515,1.93247
R2,41.632283,1.933587
R3,41.630982,1.934218
R4,41.630738,1.935418
SA1,41.620058,1.908955
SA2,41.620465,1.90995
SA3,41.62069,1.911108
SA4,41.620255,1.912333
SA5,41.620913,1.913022
SC1,41.698053,1.88301
SC2,41.696925,1.885465
SC3,41.696653,1.891595
SC4,41.695615,1.892313
T1,41.740022,1.981257
T2,41.739375,1.982355
T3,41.738338,1.982688
T4,41.7372,1.984032
