Riera;Codi_HOBO;UtoD
C;MECCR9;1
C;MECCR8;2
C;MECCP7;3
C;MECCR6;4
C;MECCP5;5
C;CA7;6
C;CA6;7
C;CA5;8
C;CA12;9
C;CA11;10
C;CA4;11
C;CA15;12
C;CA14;13
C;CA3;14
C;CA2;15
M;MECMP2;1
M;MECMR3;2
M;MU4;3
M;MU8;4
M;MU9;5
R;MECRP12;1
R;MECRP10;2
R;MECRP6;3
SA;MECSP11;1
SA;MECSR10;2
SA;MECSP9;3
SA;MECSR8;4
SA;MECSP7;5
SA;MECSP5;6
SA;MECSR4;7
SA;MECSP3;8
SA;MECSP2;9
SA;MECSR1;10
SC;MECSCP1;1
SC;MECSCR2;2
SC;MECSCP3;3
SC;MECSCR4;4
SC;MECSCR5;5
SC;MECSCP6;6
SC;MECSCR7;7
SC;MECSCP10;8
SC;MECSCR11;9
SC;MECSCP12;10
SC;MECSCP13;11
T;MECTP8;1
T;MECTP9;2
T;MECTR7;3
T;MECTR10;4
T;MECTR6;5
T;MECTP5;6
T;MECTR4;7
T;MECTP3;8
T;MECTR2;9
T;MECTP14;10
T;MECTP12;11
T;MECTR11;12
VH;MECHP1;1
VH;MECHP2;2
VH;MECHR3;3
VH;MECHR4;4
VH;MECHR5;5
VH;MECHR6;6
VH;MECHP7;7
VH;MECHR8;8
VH;MECHP9;9
VH;MECHP10;10
