"Riera","Codi_HOBO","Latitud","Longitud","ID","DtoU","NonW_Dir_con","NonW_Dir_Ocl","NonW_Dir_Acl","NonW_Dir_Bet"
"1","C","MECCR9",41653218,2072647,"C",1,1.06,0.088,0.105,0
"2","C","MECCR8",41653537,2068792,"C",2,1.134,0.105,0.116,6.854
"3","C","MECCP7",41653692,2069290,"C",3,1.068,0.1,0.125,12.566
"4","C","MECCR6",41654248,2068320,"C",4,0.971,0.081,0.134,16.291
"5","C","MECCP5",41654308,2068417,"C",5,0.997,0.093,0.141,18.711
"6","C","CA7",41653000,2065000,"C",6,0.853,0.059,0.147,19.67
"7","C","CA6",41653000,2065001,"C",7,0.872,0.065,0.144,20.469
"8","C","CA5",41653000,2066000,"C",8,0.801,0.053,0.145,20.176
"9","C","CA12",41652000,2062000,"C",9,0.984,0.065,0.145,18.812
"10","C","CA11",41652000,2062001,"C",10,1.111,0.081,0.138,17.566
"11","C","CA4",41652000,2061000,"C",11,0.839,0.047,0.131,15.047
"12","C","CA15",41651000,2059998,"C",12,1.103,0.075,0.12,11.977
"13","C","CA14",41651000,2060001,"C",13,0.585,0.027,0.112,7.777
"14","C","CA3",41651000,2060002,"C",14,1.488,0.071,0.098,4.248
"15","C","CA2",41651000,2060000,"C",15,0,0.057,0.092,0
"16","M","MECMP2",41694288,1988722,"M",1,0.621,0.153,0.267,0
"17","M","MECMR3",41694558,1987920,"M",2,1.359,0.285,0.398,0.926
"18","M","MU4",41695000,1986001,"M",3,1.654,0.306,0.482,2.18
"19","M","MU8",41696000,1985001.5,"M",4,1.495,0.25,0.458,2.084
"20","M","MU9",41696000,1984998.5,"M",5,0,0.199,0.362,0
"21","R","MECRP12",41630738,1935417,"R",1,1.395,0.595,0.601,0
"22","R","MECRP10",41630940,1935158,"R",2,0.909,0.312,0.809,0.625
"23","R","MECRP6",41631823,1933943,"R",3,0,0.185,0.541,0
"24","SA","MECSP11",41620913,1913022,"SA",1,1.109,0.156,0.157,0
"25","SA","MECSR10",41620702,1912897,"SA",2,0.967,0.111,0.178,4.066
"26","SA","MECSP9",41620672,1912892,"SA",3,1.286,0.157,0.21,6.891
"27","SA","MECSR8",41620255,1912333,"SA",4,1.124,0.109,0.233,9.307
"28","SA","MECSP7",41619988,1912018,"SA",5,1.73,0.157,0.262,10.742
"29","SA","MECSP5",41620465,1909950,"SA",6,1.745,0.148,0.269,12.295
"30","SA","MECSR4",41620477,1909908,"SA",7,1.678,0.131,0.259,12.018
"31","SA","MECSP3",41619435,1908955,"SA",8,1.661,0.123,0.237,9.938
"32","SA","MECSP2",41619562,1908800,"SA",9,1.495,0.111,0.21,5.967
"33","SA","MECSR1",41620058,1908955,"SA",10,0,0.044,0.181,0
"34","SC","MECSCP1",41695615,1892313,"SC",1,0.398,0.07,0.109,0
"35","SC","MECSCR2",41695703,1892218,"SC",2,0.403,0.06,0.118,1.365
"36","SC","MECSCP3",41695902,1892112,"SC",3,0.384,0.065,0.121,2.377
"37","SC","MECSCR4",41696380,1891908,"SC",4,0.368,0.065,0.126,2.564
"38","SC","MECSCR5",41696653,1891595,"SC",5,0.239,0.028,0.123,2.453
"39","SC","MECSCP6",41696293,1890620,"SC",6,0.331,0.038,0.121,2.314
"40","SC","MECSCR7",41696412,1889827,"SC",7,0.361,0.032,0.119,2.334
"41","SC","MECSCP10",41696925,1885465,"SC",8,0.385,0.028,0.117,2.18
"42","SC","MECSCR11",41697135,1884803,"SC",9,0.708,0.048,0.115,1.91
"43","SC","MECSCP12",41697392,1883818,"SC",10,0.704,0.048,0.113,1.375
"44","SC","MECSCP13",41698053,1883010,"SC",11,0,0.057,0.108,0
"45","T","MECTP8",41737200,1984032,"T",1,0.935,0.111,0.124,0
"46","T","MECTP9",41737260,1983757,"T",2,0.886,0.11,0.136,4.371
"47","T","MECTR7",41737260,1983756,"T",3,0.781,0.087,0.147,7.125
"48","T","MECTR10",41738010,1983185,"T",4,0.705,0.063,0.155,8.666
"49","T","MECTR6",41738338,1982688,"T",5,0.813,0.083,0.161,9.971
"50","T","MECTP5",41738338,1982689,"T",6,0.769,0.07,0.166,10.625
"51","T","MECTR4",41739000,1982445,"T",7,0.724,0.061,0.165,10.404
"52","T","MECTP3",41739375,1982355,"T",8,0.787,0.064,0.159,9.424
"53","T","MECTR2",41739627,1982025,"T",9,0.719,0.046,0.15,7.693
"54","T","MECTP14",41739728,1981542,"T",10,1.569,0.094,0.141,5.941
"55","T","MECTP12",41740022,1981257,"T",11,1.488,0.09,0.131,3.914
"56","T","MECTR11",41740147,1981228,"T",12,0,0.08,0.121,0
"57","VH","MECHP1",41676100,2016936,"VH",1,0.871,0.143,0.143,0
"58","VH","MECHP2",41676370,2018400,"VH",2,0.725,0.115,0.157,2.873
"59","VH","MECHR3",41676912,2020270,"VH",3,0.55,0.059,0.168,4.125
"60","VH","MECHR4",41678042,2023948,"VH",4,1.434,0.136,0.206,5.203
"61","VH","MECHR5",41678685,2027173,"VH",5,1.82,0.163,0.235,8.203
"62","VH","MECHR6",41677357,2029443,"VH",6,1.787,0.149,0.245,10.539
"63","VH","MECHP7",41677352,2029427,"VH",7,1.737,0.136,0.241,10.887
"64","VH","MECHR8",41676292,2031330,"VH",8,1.654,0.123,0.226,9.246
"65","VH","MECHP9",41675630,2031887,"VH",9,1.491,0.111,0.204,5.617
"66","VH","MECHP10",41673252,2034440,"VH",10,0,0.099,0.18,0
