"Riera","Codi_HOBO","Latitud","Longitud","ID","DtoU","WEIG_Dir_con","WEIG_Dir_Ocl","WEIG_Dir_Acl","WEIG_Dir_Bet"
"1","C","MECCR9",41653218,2072647,"C",1,7212.605,0,0.017,0
"2","C","MECCR8",41653537,2068792,"C",2,6008.703,0.002,0.002,6.854
"3","C","MECCP7",41653692,2069290,"C",3,6935.682,0.003,0.002,12.566
"4","C","MECCR6",41654248,2068320,"C",4,5495.794,0.001,0.002,16.291
"5","C","MECCP5",41654308,2068417,"C",5,7245.712,0.002,0.001,18.711
"6","C","CA7",41653001,2065005,"C",6,2713.084,0,0.001,19.67
"7","C","CA6",41653003.5,2065002.5,"C",7,3489.256,0.002,0.023,20.469
"8","C","CA5",41653000,2066000,"C",8,4182.11,0.001,0.022,20.176
"9","C","CA12",41652005.5,2062005.5,"C",9,1309.601,0.004,0.014,18.812
"10","C","CA11",41652002,2062002,"C",10,1763.921,0.006,0.005,17.566
"11","C","CA4",41652000,2061000,"C",11,948.7,0.002,0.004,15.047
"12","C","CA15",41651000.5,2060003,"C",12,2.524,0.073,0.031,11.977
"13","C","CA14",41651003.5,2060002,"C",13,1.01,0.027,0.031,7.777
"14","C","CA3",41651004.5,2060001,"C",14,0.301,0.07,0.046,4.248
"15","C","CA2",41651003,2060003.5,"C",15,0,0.057,0.046,0
"16","M","MECMP2",41694288,1988722,"M",1,2118.617,0.001,0.115,0
"17","M","MECMR3",41694558,1987920,"M",2,899.99,0,0.02,0.926
"18","M","MU4",41695004,1986001.5,"M",3,192.509,0.001,0.001,2.18
"19","M","MU8",41696004.5,1985004.5,"M",4,0.223,0.232,0.002,2.084
"20","M","MU9",41696002.5,1985003.5,"M",5,0,0.199,0.002,0
"21","R","MECRP12",41630742,1935421.5,"R",1,547.154,0.003,0.008,0
"22","R","MECRP10",41630940,1935158,"R",2,654.032,0.001,0.008,0.625
"23","R","MECRP6",41631823,1933943,"R",3,0,0.185,0.125,0
"24","SA","MECSP11",41620913,1913022,"SA",1,2471.088,0.011,0.012,0
"25","SA","MECSR10",41620702,1912897,"SA",2,1722.488,0.002,0.012,4.066
"26","SA","MECSP9",41620672,1912892,"SA",3,2210.639,0.005,0.004,6.891
"27","SA","MECSR8",41620255,1912333,"SA",4,1230.438,0,0.004,9.307
"28","SA","MECSP7",41619988,1912018,"SA",5,631.299,0.001,0.003,10.742
"29","SA","MECSP5",41620465,1909950,"SA",6,212.827,0.004,0.001,12.295
"30","SA","MECSR4",41620477,1909908,"SA",7,233.698,0.002,0.001,12.018
"31","SA","MECSP3",41619435,1908955,"SA",8,54.731,0.009,0.001,9.938
"32","SA","MECSP2",41619562,1908800,"SA",9,51.813,0.015,0.001,5.967
"33","SA","MECSR1",41620058,1908955,"SA",10,0,0.044,0.001,0
"34","SC","MECSCP1",41695615,1892313,"SC",1,5058.735,0.012,0.052,0
"35","SC","MECSCR2",41695703,1892218,"SC",2,4950.65,0.003,0.04,1.365
"36","SC","MECSCP3",41695902,1892112,"SC",3,5696.913,0.005,0.041,2.377
"37","SC","MECSCR4",41696380,1891908,"SC",4,6105.401,0.008,0.021,2.564
"38","SC","MECSCR5",41696653,1891595,"SC",5,4879.349,0.001,0.04,2.453
"39","SC","MECSCP6",41696293,1890620,"SC",6,4772.144,0.002,0.055,2.314
"40","SC","MECSCR7",41696412,1889827,"SC",7,4725.623,0,0.056,2.334
"41","SC","MECSCP10",41696925,1885465,"SC",8,1174.453,0,0.063,2.18
"42","SC","MECSCR11",41697135,1884803,"SC",9,866.639,0.002,0.051,1.91
"43","SC","MECSCP12",41697392,1883818,"SC",10,592.205,0.004,0.047,1.375
"44","SC","MECSCP13",41698053,1883010,"SC",11,0,0.057,0.048,0
"45","T","MECTP8",41737200,1984032,"T",1,2431.309,0.005,0.018,0
"46","T","MECTP9",41737264.5,1983757.5,"T",2,2517.691,0.022,0.021,4.371
"47","T","MECTR7",41737261.5,1983761,"T",3,2352.309,0.003,0.021,7.125
"48","T","MECTR10",41738010,1983185,"T",4,1296.166,0.001,0.025,8.666
"49","T","MECTR6",41738343,1982688.5,"T",5,1266.855,0.021,0.044,9.971
"50","T","MECTP5",41738340,1982688.5,"T",6,1287.527,0.003,0.038,10.625
"51","T","MECTR4",41739000,1982445,"T",7,849.834,0.004,0.03,10.404
"52","T","MECTP3",41739375,1982355,"T",8,733.138,0.006,0.031,9.424
"53","T","MECTR2",41739627,1982025,"T",9,460.972,0.002,0.032,7.693
"54","T","MECTP14",41739728,1981542,"T",10,82.816,0.01,0.01,5.941
"55","T","MECTP12",41740022,1981257,"T",11,13.246,0.044,0.012,3.914
"56","T","MECTR11",41740147,1981228,"T",12,0,0.08,0.011,0
"57","VH","MECHP1",41676101,2016938,"VH",1,13412.063,0.002,0.002,0
"58","VH","MECHP2",41676370,2018400,"VH",2,11492.366,0.002,0.003,2.873
"59","VH","MECHR3",41676912,2020270,"VH",3,7008.231,0,0.02,4.125
"60","VH","MECHR4",41678042,2023948,"VH",4,2367.448,0,0.019,5.203
"61","VH","MECHR5",41678685,2027173,"VH",5,836.711,0,0.001,8.203
"62","VH","MECHR6",41677357,2029443,"VH",6,471.649,0.001,0.001,10.539
"63","VH","MECHP7",41677352,2029427,"VH",7,592.389,0.001,0.001,10.887
"64","VH","MECHR8",41676292,2031330,"VH",8,353.149,0.002,0.001,9.246
"65","VH","MECHP9",41675630,2031887,"VH",9,354.005,0.003,0.001,5.617
"66","VH","MECHP10",41673252,2034440,"VH",10,0,0.099,0,0
