"Riera","Codi_HOBO","Latitud","Longitud","ID","DtoU","Un_WEIG_con","Un_WEIG_Ocl","Un_WEIG_Acl","Un_WEIG_Bet"
"1","C","MECCR9",41653218,2072647,"C",1,51603.159,0,0.017,0
"2","C","MECCR8",41653537,2068792,"C",2,23661.347,0,0.001,0
"3","C","MECCP7",41653692,2069290,"C",3,25388.048,0,0.001,0
"4","C","MECCR6",41654248,2068320,"C",4,30095.086,0,0.015,0
"5","C","MECCP5",41654308,2068417,"C",5,23190.581,0,0.001,0
"6","C","CA7",41653000,2065000,"C",6,30674.157,0,0.03,0
"7","C","CA6",41653000,2065001,"C",7,24467.604,0,0.021,0.275
"8","C","CA5",41653000,2066000,"C",8,32271.445,0,0.03,0
"9","C","CA12",41652000,2062000,"C",9,24921.607,0,0.018,0.256
"10","C","CA11",41652000,2062001,"C",10,16003.755,0,0.001,0
"11","C","CA4",41652000,2061000,"C",11,33232.527,0,0.029,0
"12","C","CA15",41651000,2059998,"C",12,19367.391,0,0.001,0
"13","C","CA14",41651000,2060001,"C",13,49188.816,0,0.043,0.354
"14","C","CA3",41651000,2060002,"C",14,19353.992,0,0.001,0
"15","C","CA2",41651000,2060000,"C",15,26249.806,0,0.01,0.599
"16","M","MECMP2",41694288,1988722,"M",1,7365.144,0,0.115,0
"17","M","MECMR3",41694558,1987920,"M",2,3098.138,0,0.043,0
"18","M","MU4",41695000,1986001,"M",3,2599.255,0.001,0.002,0
"19","M","MU8",41696000,1985001.5,"M",4,3608.639,0.001,0.001,0
"20","M","MU9",41696000,1984998.5,"M",5,3622.769,0.001,0.002,0
"21","R","MECRP12",41630738,1935417,"R",1,1062.275,0.087,0.092,0
"22","R","MECRP10",41630940,1935158,"R",2,1034.675,0.002,0.126,0
"23","R","MECRP6",41631823,1933943,"R",3,1810.896,0.002,0.149,0
"24","SA","MECSP11",41620913,1913022,"SA",1,4868.408,0,0.001,0
"25","SA","MECSR10",41620702,1912897,"SA",2,10073.902,0,0.038,0
"26","SA","MECSP9",41620672,1912892,"SA",3,4422.988,0.001,0.001,0
"27","SA","MECSR8",41620255,1912333,"SA",4,8893.217,0,0.037,0
"28","SA","MECSP7",41619988,1912018,"SA",5,4377.645,0.001,0.004,0
"29","SA","MECSP5",41620465,1909950,"SA",6,4196.836,0.001,0.001,0
"30","SA","MECSR4",41620477,1909908,"SA",7,4626.826,0.001,0.004,0
"31","SA","MECSP3",41619435,1908955,"SA",8,5308.707,0,0,0
"32","SA","MECSP2",41619562,1908800,"SA",9,5395.474,0,0,0
"33","SA","MECSR1",41620058,1908955,"SA",10,13816.282,0,0.056,0
"34","SC","MECSCP1",41695615,1892313,"SC",1,29048.386,0.003,0.043,0
"35","SC","MECSCR2",41695703,1892218,"SC",2,25635.359,0,0.048,0
"36","SC","MECSCP3",41695902,1892112,"SC",3,25324.93,0.003,0.043,0
"37","SC","MECSCR4",41696380,1891908,"SC",4,26794.246,0.014,0.052,0
"38","SC","MECSCR5",41696653,1891595,"SC",5,29468.222,0,0.071,0
"39","SC","MECSCP6",41696293,1890620,"SC",6,26363.852,0,0.062,0
"40","SC","MECSCR7",41696412,1889827,"SC",7,27457.93,0,0.067,0
"41","SC","MECSCP10",41696925,1885465,"SC",8,39562.408,0,0.07,0
"42","SC","MECSCR11",41697135,1884803,"SC",9,36674.783,0,0.051,0
"43","SC","MECSCP12",41697392,1883818,"SC",10,40971,0,0.047,0
"44","SC","MECSCP13",41698053,1883010,"SC",11,44445.744,0,0.034,0
"45","T","MECTP8",41737200,1984032,"T",1,10277.879,0.001,0.014,0
"46","T","MECTP9",41737260,1983757,"T",2,8566.153,0.001,0.01,0
"47","T","MECTR7",41737260,1983756,"T",3,11117.015,0,0.026,0
"48","T","MECTR10",41738010,1983185,"T",4,10604.82,0,0.047,0
"49","T","MECTR6",41738338,1982688,"T",5,7139.745,0.001,0.026,0
"50","T","MECTP5",41738338,1982689,"T",6,7619.05,0,0.035,0
"51","T","MECTR4",41739000,1982445,"T",7,8446.498,0,0.039,0
"52","T","MECTP3",41739375,1982355,"T",8,8017.633,0,0.034,0
"53","T","MECTR2",41739627,1982025,"T",9,11129.429,0,0.048,0
"54","T","MECTP14",41739728,1981542,"T",10,7668.228,0.001,0.005,0
"55","T","MECTP12",41740022,1981257,"T",11,8677.159,0.001,0.002,0
"56","T","MECTR11",41740147,1981228,"T",12,9536.138,0.001,0.004,0
"57","VH","MECHP1",41676100,2016936,"VH",1,13550.72,0,0,0
"58","VH","MECHP2",41676370,2018400,"VH",2,23934.933,0,0.019,0
"59","VH","MECHR3",41676912,2020270,"VH",3,50798.492,0,0.067,0
"60","VH","MECHR4",41678042,2023948,"VH",4,19941.45,0,0.023,0
"61","VH","MECHR5",41678685,2027173,"VH",5,12079.335,0,0.001,0
"62","VH","MECHR6",41677357,2029443,"VH",6,13871.595,0,0.001,0
"63","VH","MECHP7",41677352,2029427,"VH",7,13851.53,0,0.001,0
"64","VH","MECHR8",41676292,2031330,"VH",8,16512.395,0,0.001,0
"65","VH","MECHP9",41675630,2031887,"VH",9,17534.987,0,0.001,0
"66","VH","MECHP10",41673252,2034440,"VH",10,23063.499,0,0.001,0
