"Scenario","Riera","Codi_HOBO","Latitud","Longitud","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"1","Scenario A1","C","MECCR9",41653218,2072647,0.73,1.49,1.49,1.49,1.447,1.447,1.045,1.045,1.041,0.906,0.906,0.816,0.816,0.621,0.621
"2","Scenario A1","C","MECCR8",41653537,2068792,0,0.992,1.986,1.986,1.545,1.545,1.049,1.049,1.045,0.906,0.906,0.816,0.816,0.621,0.621
"3","Scenario A1","C","MECCP7",41653692,2069290,0,0,0.992,1.986,1.545,1.545,1.049,1.049,1.045,0.906,0.906,0.816,0.816,0.621,0.621
"4","Scenario A1","C","MECCR6",41654248,2068320,0,0,0,0.748,1.545,1.545,1.049,1.049,1.045,0.906,0.906,0.816,0.816,0.621,0.621
"5","Scenario A1","C","MECCP5",41654308,2068417,0,0,0,0,0.992,1.986,1.104,1.104,1.1,0.91,0.91,0.816,0.816,0.621,0.621
"6","Scenario A1","C","CA7",41653001,2065005,0,0,0,0,0,0.539,1.104,1.104,1.1,0.91,0.91,0.816,0.816,0.621,0.621
"7","Scenario A1","C","CA6",41653003.5,2065002.5,0,0,0,0,0,0,0.674,1.365,1.104,0.914,0.914,0.82,0.82,0.625,0.625
"8","Scenario A1","C","CA5",41653000,2066000,0,0,0,0,0,0,0,0.543,1.111,0.922,0.922,0.828,0.828,0.633,0.633
"9","Scenario A1","C","CA12",41652005.5,2062005.5,0,0,0,0,0,0,0,0,0.658,1.457,1.453,1.023,1.023,0.645,0.645
"10","Scenario A1","C","CA11",41652002,2062002,0,0,0,0,0,0,0,0,0,0.992,1.986,1.131,1.131,0.713,0.713
"11","Scenario A1","C","CA4",41652000,2061000,0,0,0,0,0,0,0,0,0,0,0.512,1.131,1.131,0.713,0.713
"12","Scenario A1","C","CA15",41651000.5,2060003,0,0,0,0,0,0,0,0,0,0,0,0.992,1.986,0.717,0.717
"13","Scenario A1","C","CA14",41651003.5,2060002,0,0,0,0,0,0,0,0,0,0,0,0,0.322,0.717,0.717
"14","Scenario A1","C","CA3",41651004.5,2060001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.992,1.986
"15","Scenario A1","C","CA2",41651003,2060003.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Scenario A2","C","MECCR9",41653218,2072647,974.599,1551.048,1359.43,1783.504,1920.464,3361.148,6131.45,5332.15,8624.763,9927.402,10850.523,12932.254,12932.725,15190.268,15187.661
"17","Scenario A2","C","MECCR8",41653537,2068792,0,2.037,105.637,172.848,514.248,2294.099,4004.012,2974.781,7303.659,8176.861,9328.915,11484.647,11484.81,13093.805,13090.961
"18","Scenario A2","C","MECCP7",41653692,2069290,0,0,4.367,226.449,640.861,2603.367,4543.436,3517.611,7849.579,8787.699,9938.262,12139.321,12139.479,13840.134,13837.294
"19","Scenario A2","C","MECCR6",41654248,2068320,0,0,0,25.618,43.239,1342.696,2925.253,2174.899,5555.705,6396.27,7304.45,9238.942,9238.777,10808.906,10806.746
"20","Scenario A2","C","MECCP5",41654308,2068417,0,0,0,0,14.273,740.03,3644.497,2740.176,6816.395,7983.206,9096.825,11350.365,11350.156,12940.128,12937.582
"21","Scenario A2","C","CA7",41653001,2065005,0,0,0,0,0,1.574,1.965,552.886,1767.222,2309.321,3012.295,4385.524,4385.373,5332.863,5331.116
"22","Scenario A2","C","CA6",41653003.5,2065002.5,0,0,0,0,0,0,313.669,449.852,2168.59,2710.984,3536.437,5070.24,5070.065,6017.38,6015.409
"23","Scenario A2","C","CA5",41653000,2066000,0,0,0,0,0,0,0,1817.021,2274.493,2979.445,3686.83,5104.159,5104.159,6215.992,6214.125
"24","Scenario A2","C","CA12",41652005.5,2062005.5,0,0,0,0,0,0,0,0,1.334,2.046,419.096,1800.311,1799.95,2564.368,2562.577
"25","Scenario A2","C","CA11",41652002,2062002,0,0,0,0,0,0,0,0,0,3.914,202.945,2174.272,2173.837,3015.335,3013.222
"26","Scenario A2","C","CA4",41652000,2061000,0,0,0,0,0,0,0,0,0,0,609.364,769.012,768.241,1298.768,1298.114
"27","Scenario A2","C","CA15",41651000.5,2060003,0,0,0,0,0,0,0,0,0,0,0,0.012,0.64,6.016,3.429
"28","Scenario A2","C","CA14",41651003.5,2060002,0,0,0,0,0,0,0,0,0,0,0,0,0.903,1.005,1.123
"29","Scenario A2","C","CA3",41651004.5,2060001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.59
"30","Scenario A2","C","CA2",41651003,2060003.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Scenario B1","C","MECCR9",41653218,2072647,0,1.488,1.488,1.445,1.488,1.086,1.348,1.094,1.262,1.488,1.129,1.488,0.715,1.488,1.32
"32","Scenario B1","C","MECCR8",41653537,2068792,0,0,1.984,1.543,1.984,1.102,1.363,1.109,1.453,1.984,1.129,1.984,0.715,1.984,1.695
"33","Scenario B1","C","MECCP7",41653692,2069290,0,0,0,1.543,1.984,1.102,1.363,1.109,1.453,1.984,1.129,1.984,0.715,1.984,1.695
"34","Scenario B1","C","MECCR6",41654248,2068320,0,0,0,0,1.543,1.047,1.309,1.055,1.309,1.543,1.129,1.543,0.711,1.543,1.395
"35","Scenario B1","C","MECCP5",41654308,2068417,0,0,0,0,0,1.102,1.363,1.109,1.453,1.984,1.129,1.984,0.715,1.984,1.695
"36","Scenario B1","C","CA7",41653001,2065005,0,0,0,0,0,0,1.102,1.098,0.914,1.102,0.91,1.102,0.691,1.102,0.949
"37","Scenario B1","C","CA6",41653003.5,2065002.5,0,0,0,0,0,0,0,1.102,1.152,1.363,1.117,1.363,0.703,1.363,1.199
"38","Scenario B1","C","CA5",41653000,2066000,0,0,0,0,0,0,0,0,0.922,1.109,0.918,1.109,0.703,1.109,0.957
"39","Scenario B1","C","CA12",41652005.5,2062005.5,0,0,0,0,0,0,0,0,0,1.453,1.023,1.453,0.648,1.453,1.402
"40","Scenario B1","C","CA11",41652002,2062002,0,0,0,0,0,0,0,0,0,0,1.129,1.984,0.715,1.984,1.695
"41","Scenario B1","C","CA4",41652000,2061000,0,0,0,0,0,0,0,0,0,0,0,1.129,0.711,1.129,1.074
"42","Scenario B1","C","CA15",41651000.5,2060003,0,0,0,0,0,0,0,0,0,0,0,0,0.715,1.984,1.695
"43","Scenario B1","C","CA14",41651003.5,2060002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715,0.699
"44","Scenario B1","C","CA3",41651004.5,2060001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.695
"45","Scenario B1","C","CA2",41651003,2060003.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Scenario B2","C","MECCR9",41653218,2072647,0,2524.891,2212.964,3075.307,2851.262,7758.562,5959.68,6702.531,9174.924,6993.545,11431.474,8379.138,17315.509,8379.973,10318.985
"47","Scenario B2","C","MECCR8",41653537,2068792,0,0,107.573,515.045,176.83,3827.732,2928.452,2825.403,4761.306,1435.777,7752.896,1886.712,12338.845,1886.88,4265.996
"48","Scenario B2","C","MECCP7",41653692,2069290,0,0,0,674.761,220.368,4343.749,3322.976,3340.976,5117.195,1543.035,8259.3,1994.263,13042.197,1994.43,4509.205
"49","Scenario B2","C","MECCR6",41654248,2068320,0,0,0,0,68.835,3718.873,2885.807,2747.565,5457.548,4046.78,7474.947,5388.511,12074.234,5388.758,6580.294
"50","Scenario B2","C","MECCP5",41654308,2068417,0,0,0,0,0,3656.619,2797.089,2731.051,4662.238,1405.982,7582.71,1864.652,12194.178,1864.735,4216.013
"51","Scenario B2","C","CA7",41653001,2065005,0,0,0,0,0,0,3.538,999.276,3696.167,3167.281,4842.571,5391.416,7379.8,5391.79,6128.469
"52","Scenario B2","C","CA6",41653003.5,2065002.5,0,0,0,0,0,0,0,998.285,3016.9,2420.61,4071.577,4121.411,7321.089,4121.695,4915.388
"53","Scenario B2","C","CA5",41653000,2066000,0,0,0,0,0,0,0,0,4785.359,4094.926,5945.536,6282.041,8593.359,6282.671,7147.355
"54","Scenario B2","C","CA12",41652005.5,2062005.5,0,0,0,0,0,0,0,0,0,3.387,1077.001,1533.371,3155.381,1533.37,1634.627
"55","Scenario B2","C","CA11",41652002,2062002,0,0,0,0,0,0,0,0,0,0,978.126,461.143,3015.167,461.143,1042.082
"56","Scenario B2","C","CA4",41652000,2061000,0,0,0,0,0,0,0,0,0,0,0,1378.101,1907.244,1376.721,1445.408
"57","Scenario B2","C","CA15",41651000.5,2060003,0,0,0,0,0,0,0,0,0,0,0,0,4.265,0.922,1.189
"58","Scenario B2","C","CA14",41651003.5,2060002,0,0,0,0,0,0,0,0,0,0,0,0,0,1.908,2.155
"59","Scenario B2","C","CA3",41651004.5,2060001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36
"60","Scenario B2","C","CA2",41651003,2060003.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
