"Scenario","Riera","Codi_HOBO","Latitud","Longitud","1","2","3","4","5","6","7","8","9","10"
"1","Scenario A1","SA","MECSP11",41620913,1913022,0.992,1.986,1.242,1.242,0.965,0.953,0.953,0.926,0.926,0.926
"2","Scenario A1","SA","MECSR10",41620702,1912897,0,0.588,1.242,1.242,0.965,0.953,0.953,0.926,0.926,0.926
"3","Scenario A1","SA","MECSP9",41620672,1912892,0,0,0.996,1.992,1.258,1.246,1.238,1.191,1.191,1.191
"4","Scenario A1","SA","MECSR8",41620255,1912333,0,0,0,0.562,1.258,1.246,1.238,1.191,1.191,1.191
"5","Scenario A1","SA","MECSP7",41619988,1912018,0,0,0,0,0.955,1.934,1.926,1.859,1.859,1.859
"6","Scenario A1","SA","MECSP5",41620465,1909950,0,0,0,0,0,0.992,1.986,1.918,1.918,1.918
"7","Scenario A1","SA","MECSR4",41620477,1909908,0,0,0,0,0,0,0.941,1.926,1.926,1.926
"8","Scenario A1","SA","MECSP3",41619435,1908955,0,0,0,0,0,0,0,0.998,1.994,1.994
"9","Scenario A1","SA","MECSP2",41619562,1908800,0,0,0,0,0,0,0,0,0.998,1.994
"10","Scenario A1","SA","MECSR1",41620058,1908955,0,0,0,0,0,0,0,0,0,0
"11","Scenario A2","SA","MECSP11",41620913,1913022,0.958,49.672,238.85,831.029,1531.53,3515.598,3560.759,5006.747,5128.989,4808.507
"12","Scenario A2","SA","MECSR10",41620702,1912897,0,11.465,15.183,359.266,848.008,2245.103,2276.194,3246.174,3334.009,3131.436
"13","Scenario A2","SA","MECSP9",41620672,1912892,0,0,1.362,138.936,954.631,2567.941,2624.746,3796.296,3900.356,3665.512
"14","Scenario A2","SA","MECSR8",41620255,1912333,0,0,0,152.43,203.563,1204.528,1243.253,1921.361,1990.023,1870.309
"15","Scenario A2","SA","MECSP7",41619988,1912018,0,0,0,0,66.322,472.543,497.485,900.929,939.586,886.826
"16","Scenario A2","SA","MECSP5",41620465,1909950,0,0,0,0,0,0.171,8.847,378.165,386.101,283.873
"17","Scenario A2","SA","MECSR4",41620477,1909908,0,0,0,0,0,0,49.643,318.821,324.441,235.048
"18","Scenario A2","SA","MECSP3",41619435,1908955,0,0,0,0,0,0,0,0,39.96,124.235
"19","Scenario A2","SA","MECSP2",41619562,1908800,0,0,0,0,0,0,0,0,0,103.626
"20","Scenario A2","SA","MECSR1",41620058,1908955,0,0,0,0,0,0,0,0,0,0
"21","Scenario B1","SA","MECSP11",41620913,1913022,0,1.242,1.984,1.25,1.926,1.984,1.918,1.984,1.984,0.887
"22","Scenario B1","SA","MECSR10",41620702,1912897,0,0,1.242,0.965,1.184,1.242,1.211,1.242,1.242,0.727
"23","Scenario B1","SA","MECSP9",41620672,1912892,0,0,0,1.258,1.934,1.984,1.926,1.992,1.992,0.887
"24","Scenario B1","SA","MECSR8",41620255,1912333,0,0,0,0,1.246,1.25,1.211,1.258,1.258,0.648
"25","Scenario B1","SA","MECSP7",41619988,1912018,0,0,0,0,0,1.926,1.867,1.934,1.934,0.828
"26","Scenario B1","SA","MECSP5",41620465,1909950,0,0,0,0,0,0,1.918,1.984,1.984,0.887
"27","Scenario B1","SA","MECSR4",41620477,1909908,0,0,0,0,0,0,0,1.926,1.926,0.879
"28","Scenario B1","SA","MECSP3",41619435,1908955,0,0,0,0,0,0,0,0,1.992,0.887
"29","Scenario B1","SA","MECSP2",41619562,1908800,0,0,0,0,0,0,0,0,0,0.887
"30","Scenario B1","SA","MECSR1",41620058,1908955,0,0,0,0,0,0,0,0,0,0
"31","Scenario B2","SA","MECSP11",41620913,1913022,0,214.399,56.477,826.191,353.553,640.302,836.453,892.492,914.283,4962.73
"32","Scenario B2","SA","MECSR10",41620702,1912897,0,0,26.588,808.77,1049.726,2584.64,2704.736,3619.799,3717.744,5345.441
"33","Scenario B2","SA","MECSP9",41620672,1912892,0,0,0,599.875,279.626,608.288,774.458,822.128,844.663,4758.162
"34","Scenario B2","SA","MECSR8",41620255,1912333,0,0,0,0,359.542,2074.516,2197.334,2989.991,3096.842,4766.314
"35","Scenario B2","SA","MECSP7",41619988,1912018,0,0,0,0,0,549.642,675.159,784.209,817.859,3820.175
"36","Scenario B2","SA","MECSP5",41620465,1909950,0,0,0,0,0,0,11.62,295.372,301.57,1283.728
"37","Scenario B2","SA","MECSR4",41620477,1909908,0,0,0,0,0,0,0,365.707,372.153,1250.471
"38","Scenario B2","SA","MECSP3",41619435,1908955,0,0,0,0,0,0,0,0,39.92,743.95
"39","Scenario B2","SA","MECSP2",41619562,1908800,0,0,0,0,0,0,0,0,0,620.541
"40","Scenario B2","SA","MECSR1",41620058,1908955,0,0,0,0,0,0,0,0,0,0
