"Scenario","Riera","Codi_HOBO","Latitud","Longitud","1","2","3","4","5","6","7","8","9","10","11"
"1","Scenario A1","SC","MECSCP1",41695615,1892313,0.545,1.129,0.645,0.582,0.395,0.293,0.176,0.172,0.156,0.156,0.156
"2","Scenario A1","SC","MECSCR2",41695703,1892218,0,0.443,0.934,0.855,0.547,0.344,0.219,0.211,0.164,0.164,0.164
"3","Scenario A1","SC","MECSCP3",41695902,1892112,0,0,0.547,1.117,0.547,0.344,0.219,0.211,0.164,0.164,0.164
"4","Scenario A1","SC","MECSCR4",41696380,1891908,0,0,0,0.525,1.168,0.344,0.219,0.211,0.164,0.164,0.164
"5","Scenario A1","SC","MECSCR5",41696653,1891595,0,0,0,0,0.193,0.445,0.25,0.234,0.188,0.188,0.188
"6","Scenario A1","SC","MECSCP6",41696293,1890620,0,0,0,0,0,0.244,0.633,0.359,0.254,0.254,0.254
"7","Scenario A1","SC","MECSCR7",41696412,1889827,0,0,0,0,0,0,0.203,0.52,0.363,0.363,0.363
"8","Scenario A1","SC","MECSCP10",41696925,1885465,0,0,0,0,0,0,0,0.176,0.457,0.457,0.457
"9","Scenario A1","SC","MECSCR11",41697135,1884803,0,0,0,0,0,0,0,0,0.404,0.887,0.84
"10","Scenario A1","SC","MECSCP12",41697392,1883818,0,0,0,0,0,0,0,0,0,0.455,0.957
"11","Scenario A1","SC","MECSCP13",41698053,1883010,0,0,0,0,0,0,0,0,0,0,0
"12","Scenario A2","SC","MECSCP1",41695615,1892313,56.148,70.514,343.542,897.376,1521.456,2365.129,3661.005,9801.896,10879.836,12323.315,13655.607
"13","Scenario A2","SC","MECSCR2",41695703,1892218,0,119.781,140.391,515.984,1102.776,1964.943,3157.323,8736.506,9932.663,11269.089,12498.863
"14","Scenario A2","SC","MECSCP3",41695902,1892112,0,0,228.389,285.435,968.736,1920.749,3178.942,9178.931,10429.298,11856.736,13159.557
"15","Scenario A2","SC","MECSCR4",41696380,1891908,0,0,0,171.972,219.67,1640.395,2878.786,8989.268,10234.657,11678.609,12969.022
"16","Scenario A2","SC","MECSCR5",41696653,1891595,0,0,0,0,805.894,850.147,1773.198,6183.969,7149.535,8202.634,9133.324
"17","Scenario A2","SC","MECSCP6",41696293,1890620,0,0,0,0,0,546.593,595.771,5136.792,6371.252,7468.881,8466.862
"18","Scenario A2","SC","MECSCR7",41696412,1889827,0,0,0,0,0,0,3242.577,3462.181,4714.902,5655.543,6513.241
"19","Scenario A2","SC","MECSCP10",41696925,1885465,0,0,0,0,0,0,0,534.447,564.832,1392.279,2197.276
"20","Scenario A2","SC","MECSCR11",41697135,1884803,0,0,0,0,0,0,0,0,564.658,652.936,1376.991
"21","Scenario A2","SC","MECSCP12",41697392,1883818,0,0,0,0,0,0,0,0,0,542.353,640.221
"22","Scenario A2","SC","MECSCP13",41698053,1883010,0,0,0,0,0,0,0,0,0,0,0
"23","Scenario B1","SC","MECSCP1",41695615,1892313,0,0.645,0.816,0.605,0.355,0.328,0.438,0.328,0.609,0.637,0.887
"24","Scenario B1","SC","MECSCR2",41695703,1892218,0,0,0.855,0.609,0.418,0.531,0.477,0.457,0.812,0.922,0.934
"25","Scenario B1","SC","MECSCP3",41695902,1892112,0,0,0,0.547,0.445,0.52,0.473,0.457,0.785,0.871,0.883
"26","Scenario B1","SC","MECSCR4",41696380,1891908,0,0,0,0,0.344,0.488,0.457,0.34,0.594,0.613,0.828
"27","Scenario B1","SC","MECSCR5",41696653,1891595,0,0,0,0,0,0.25,0.371,0.297,0.41,0.445,0.445
"28","Scenario B1","SC","MECSCP6",41696293,1890620,0,0,0,0,0,0,0.359,0.34,0.531,0.535,0.602
"29","Scenario B1","SC","MECSCR7",41696412,1889827,0,0,0,0,0,0,0,0.363,0.48,0.473,0.52
"30","Scenario B1","SC","MECSCP10",41696925,1885465,0,0,0,0,0,0,0,0,0.457,0.457,0.457
"31","Scenario B1","SC","MECSCR11",41697135,1884803,0,0,0,0,0,0,0,0,0,0.84,0.887
"32","Scenario B1","SC","MECSCP12",41697392,1883818,0,0,0,0,0,0,0,0,0,0,0.957
"33","Scenario B1","SC","MECSCP13",41698053,1883010,0,0,0,0,0,0,0,0,0,0,0
"34","Scenario B2","SC","MECSCP1",41695615,1892313,0,182.861,440.582,1252.742,2110.614,3094.615,4172.934,11830.907,11062.413,12316.535,11484.234
"35","Scenario B2","SC","MECSCR2",41695703,1892218,0,0,275.585,1075.016,1835.888,2579.113,3898.675,10848.922,9522.612,9960.442,10947.178
"36","Scenario B2","SC","MECSCP3",41695902,1892112,0,0,0,779.567,1450.966,2351.531,3668.221,10631.692,9528.823,10181.256,11201.333
"37","Scenario B2","SC","MECSCR4",41696380,1891908,0,0,0,0,698.92,2004.479,3290.157,10903.813,10416.073,11742.305,11289.097
"38","Scenario B2","SC","MECSCR5",41696653,1891595,0,0,0,0,0,1836.706,2958.815,10584.655,11051.458,12432.117,13842.694
"39","Scenario B2","SC","MECSCP6",41696293,1890620,0,0,0,0,0,0,1338.136,8758.109,8899.089,10407.986,11331.865
"40","Scenario B2","SC","MECSCR7",41696412,1889827,0,0,0,0,0,0,0,7313.813,7916.991,9539.269,10690.151
"41","Scenario B2","SC","MECSCP10",41696925,1885465,0,0,0,0,0,0,0,0,1097.922,2706.318,4271.074
"42","Scenario B2","SC","MECSCR11",41697135,1884803,0,0,0,0,0,0,0,0,0,1258.552,2405.407
