"Scenario","Riera","Codi_HOBO","Latitud","Longitud","1","2","3","4","5","6","7","8","9","10","11","12"
"1","Scenario A1","T","MECTP8",41737200,1984032,0.822,1.676,1.617,1.348,0.832,0.785,0.785,0.766,0.766,0.617,0.613,0.613
"2","Scenario A1","T","MECTP9",41737260,1983757,0,0.865,1.773,1.348,0.832,0.785,0.785,0.766,0.766,0.617,0.613,0.613
"3","Scenario A1","T","MECTR7",41737260,1983756,0,0,0.674,1.375,0.832,0.785,0.785,0.766,0.766,0.617,0.613,0.613
"4","Scenario A1","T","MECTR10",41738010,1983185,0,0,0,0.375,0.879,0.828,0.824,0.805,0.805,0.617,0.613,0.613
"5","Scenario A1","T","MECTR6",41738338,1982688,0,0,0,0,0.631,1.395,0.953,0.832,0.828,0.629,0.625,0.625
"6","Scenario A1","T","MECTP5",41738338,1982689,0,0,0,0,0,0.521,1.176,0.867,0.863,0.656,0.652,0.652
"7","Scenario A1","T","MECTR4",41739000,1982445,0,0,0,0,0,0,0.445,1.066,0.879,0.656,0.652,0.652
"8","Scenario A1","T","MECTP3",41739375,1982355,0,0,0,0,0,0,0,0.535,1.195,0.742,0.734,0.734
"9","Scenario A1","T","MECTR2",41739627,1982025,0,0,0,0,0,0,0,0,0.375,0.852,0.824,0.824
"10","Scenario A1","T","MECTP14",41739728,1981542,0,0,0,0,0,0,0,0,0,0.932,1.895,1.887
"11","Scenario A1","T","MECTP12",41740022,1981257,0,0,0,0,0,0,0,0,0,0,0.992,1.986
"12","Scenario A1","T","MECTR11",41740147,1981228,0,0,0,0,0,0,0,0,0,0,0,0
"13","Scenario A2","T","MECTP8",41737200,1984032,45.079,91.697,106.91,727.902,1911.04,1984.475,2705.289,3144.464,3605.755,4536.638,5074.044,5215.083
"14","Scenario A2","T","MECTP9",41737260,1983757,0,0.111,0.287,631.891,1721.583,1784.803,2563.122,3029.122,3501.274,4401.751,4957.99,5107.902
"15","Scenario A2","T","MECTR7",41737260,1983756,0,0,292.729,420.499,1418.477,1481.807,2128.395,2523.059,2916.377,3740.346,4215.061,4342.545
"16","Scenario A2","T","MECTR10",41738010,1983185,0,0,0,332.63,383.804,410.443,857.476,1136.373,1415.577,2092.102,2462.252,2560.382
"17","Scenario A2","T","MECTR6",41738338,1982688,0,0,0,0,0.301,0.438,589.219,1028.741,1374.207,2030.914,2499.076,2628.873
"18","Scenario A2","T","MECTP5",41738338,1982689,0,0,0,0,0,289.38,370.957,875.399,1170.172,1790.173,2203.63,2318.03
"19","Scenario A2","T","MECTR4",41739000,1982445,0,0,0,0,0,0,179.266,219.639,557.16,1088.776,1476.51,1575.651
"20","Scenario A2","T","MECTP3",41739375,1982355,0,0,0,0,0,0,0,166.248,215.069,820.546,1188.819,1274.275
