"Scenario","Riera","Codi_HOBO","Latitud","Longitud","1","2","3","4","5","6","7","8","9","10"
"1","Scenario A1","VH","MECHP1",41676100,2016936,0.992,1.986,1.619,0.654,0.576,0.576,0.576,0.576,0.576,0.576
"2","Scenario A1","VH","MECHP2",41676370,2018400,0,0.797,1.619,0.654,0.576,0.576,0.576,0.576,0.576,0.576
"3","Scenario A1","VH","MECHR3",41676912,2020270,0,0,0.293,0.654,0.576,0.576,0.576,0.576,0.576,0.576
"4","Scenario A1","VH","MECHR4",41678042,2023948,0,0,0,0.77,1.545,1.545,1.545,1.545,1.545,1.545
"5","Scenario A1","VH","MECHR5",41678685,2027173,0,0,0,0,0.992,1.986,1.986,1.986,1.986,1.986
"6","Scenario A1","VH","MECHR6",41677357,2029443,0,0,0,0,0,0.992,1.986,1.986,1.986,1.986
"7","Scenario A1","VH","MECHP7",41677352,2029427,0,0,0,0,0,0,0.992,1.986,1.986,1.986
"8","Scenario A1","VH","MECHR8",41676292,2031330,0,0,0,0,0,0,0,0.992,1.986,1.986
"9","Scenario A1","VH","MECHP9",41675630,2031887,0,0,0,0,0,0,0,0,0.994,1.99
"10","Scenario A1","VH","MECHP10",41673252,2034440,0,0,0,0,0,0,0,0,0,0
"11","Scenario A2","VH","MECHP1",41676100,2016936,5.815,301.518,1828.994,10196.283,15538.484,18499.025,18474.861,21185.242,22013.952,26099.032
"12","Scenario A2","VH","MECHP2",41676370,2018400,0,365.056,680.296,7056.352,11687.189,14281.035,14259.935,16655.254,17398.545,21047.637
"13","Scenario A2","VH","MECHR3",41676912,2020270,0,0,2577.64,2829.392,5742.013,7399.048,7385.978,8924.634,9416.218,11790.929
"14","Scenario A2","VH","MECHR4",41678042,2023948,0,0,0,738.623,1246.666,2099.287,2093.504,2876.09,3145.526,4372.443
"15","Scenario A2","VH","MECHR5",41678685,2027173,0,0,0,0,10.273,532.662,530.382,971.493,1137.736,1837.72
"16","Scenario A2","VH","MECHR6",41677357,2029443,0,0,0,0,0,0.065,3.395,438.86,606.119,1309.804
"17","Scenario A2","VH","MECHP7",41677352,2029427,0,0,0,0,0,0,8.509,441.192,608.187,1311.668
"18","Scenario A2","VH","MECHR8",41676292,2031330,0,0,0,0,0,0,0,3.38,175.228,880.84
"19","Scenario A2","VH","MECHP9",41675630,2031887,0,0,0,0,0,0,0,0,6.814,701.195
"20","Scenario A2","VH","MECHP10",41673252,2034440,0,0,0,0,0,0,0,0,0,0
"21","Scenario B1","VH","MECHP1",41676100,2016936,0,1.617,0.652,1.543,1.984,1.984,1.984,1.984,1.984,1.984
"22","Scenario B1","VH","MECHP2",41676370,2018400,0,0,0.652,1.332,1.617,1.617,1.617,1.617,1.617,1.617
"23","Scenario B1","VH","MECHR3",41676912,2020270,0,0,0,0.574,0.652,0.652,0.652,0.652,0.652,0.652
"24","Scenario B1","VH","MECHR4",41678042,2023948,0,0,0,0,1.543,1.543,1.543,1.543,1.543,1.543
"25","Scenario B1","VH","MECHR5",41678685,2027173,0,0,0,0,0,1.984,1.984,1.984,1.984,1.984
"26","Scenario B1","VH","MECHR6",41677357,2029443,0,0,0,0,0,0,1.984,1.984,1.984,1.984
"27","Scenario B1","VH","MECHP7",41677352,2029427,0,0,0,0,0,0,0,1.984,1.984,1.984
"28","Scenario B1","VH","MECHR8",41676292,2031330,0,0,0,0,0,0,0,0,1.984,1.984
"29","Scenario B1","VH","MECHP9",41675630,2031887,0,0,0,0,0,0,0,0,0,1.984
"30","Scenario B1","VH","MECHP10",41673252,2034440,0,0,0,0,0,0,0,0,0,0
"31","Scenario B2","VH","MECHP1",41676100,2016936,0,799.007,4821.466,4391.152,2177.656,2592.564,2589.178,2969.027,3085.167,3657.675
"32","Scenario B2","VH","MECHP2",41676370,2018400,0,0,2735.635,4597.097,4869.81,5950.612,5941.82,6939.9,7249.614,8770.115
"33","Scenario B2","VH","MECHR3",41676912,2020270,0,0,0,5676.82,10014.072,12903.939,12881.145,15564.562,16421.884,20563.38
"34","Scenario B2","VH","MECHR4",41678042,2023948,0,0,0,0,1984.647,3341.987,3332.78,4578.629,5007.56,6960.766
"35","Scenario B2","VH","MECHR5",41678685,2027173,0,0,0,0,0,542.421,540.1,989.293,1158.582,1871.391
"36","Scenario B2","VH","MECHR6",41677357,2029443,0,0,0,0,0,0,3.457,446.901,617.224,1333.802
"37","Scenario B2","VH","MECHP7",41677352,2029427,0,0,0,0,0,0,0,449.275,619.33,1335.7
"38","Scenario B2","VH","MECHR8",41676292,2031330,0,0,0,0,0,0,0,0,178.438,896.979
"39","Scenario B2","VH","MECHP9",41675630,2031887,0,0,0,0,0,0,0,0,0,719.594
"40","Scenario B2","VH","MECHP10",41673252,2034440,0,0,0,0,0,0,0,0,0,0
